,TARGET
286658,0
240466,0
44192,1
54801,0
291634,1
129772,0
66302,0
131340,0
138130,0
211341,0
120966,0
41748,0
282431,0
205075,0
110734,0
243481,0
64753,0
146876,0
151209,0
300978,0
224127,0
78861,1
263825,0
113558,0
238791,0
43206,1
45415,0
118525,0
75115,0
205002,0
191863,0
12299,0
299725,0
73789,0
5914,1
76500,0
22981,0
69853,0
222140,0
88795,0
69227,0
116579,0
247182,0
177614,0
297547,0
267606,0
145504,0
130985,0
215223,0
305180,1
212944,0
239618,0
7051,0
232127,0
78560,0
160792,0
64636,0
112152,0
229759,0
100199,0
131950,0
183855,0
93369,0
241431,0
197557,1
141039,0
97494,0
295960,0
192964,0
290441,0
30029,0
101251,0
20661,0
251710,0
89796,0
19429,0
85949,0
218525,0
153088,0
210187,0
8685,0
227079,0
94803,0
250155,0
13213,0
115502,1
108404,0
89789,0
305175,0
163598,0
278102,0
159745,0
167941,0
247881,0
3380,0
135168,1
122406,0
256375,0
195832,0
67134,0
105320,0
241307,0
216540,0
95918,0
295009,0
134023,1
241673,0
226503,0
238480,0
140051,0
234449,0
136383,1
271115,0
50429,0
16055,0
63370,0
20670,0
243231,0
50259,0
191304,0
254972,0
29755,0
2387,1
240403,1
68657,0
206611,0
84161,0
145125,0
296150,0
118881,0
304974,0
199276,0
142597,0
477,1
28561,1
241255,0
46963,1
138577,1
297618,1
158705,0
293450,0
13456,0
108429,0
180307,0
81269,0
31163,0
190021,0
27320,0
168770,0
150716,0
231076,0
5200,0
289958,0
43500,0
301510,0
158391,0
204001,0
284574,0
90538,0
141323,0
146409,0
41370,0
32284,0
302647,0
122530,0
139642,0
79597,0
82129,0
278412,1
173412,1
270179,0
190530,0
14625,0
92180,0
249877,0
114194,0
188787,0
278721,0
156671,0
217492,0
169690,0
258726,0
81556,0
59111,0
150603,0
177220,0
111402,0
256759,0
50445,0
291143,0
163035,0
48470,0
147377,0
259331,0
277256,0
26405,0
216770,0
104556,0
292414,0
284799,0
228540,0
195063,0
88591,0
203020,0
139836,0
50653,0
180573,0
291128,0
127837,0
54296,0
271920,0
144907,0
182074,0
123327,1
235426,0
129091,0
291925,0
9462,0
106302,0
166156,0
25898,1
24770,0
110317,0
207284,0
270099,0
40635,0
145796,0
257599,0
213833,0
186480,0
11388,0
27121,0
294017,0
49133,0
217363,0
290365,0
176388,0
94397,0
156936,0
52090,0
103499,0
298398,0
111979,0
125786,1
149665,0
130569,0
120837,0
95508,0
289533,0
87423,0
105373,0
34631,0
247112,0
42002,0
94671,0
55039,0
116824,1
220493,0
88414,0
91011,1
11338,0
129199,0
287784,0
245668,0
274143,0
57368,0
57166,0
276645,0
162211,0
15333,1
153147,1
183150,1
199300,0
65876,0
136600,0
140540,1
204778,0
147692,0
42367,0
107094,0
106949,0
203742,1
126344,0
110134,0
106697,0
133631,0
211025,0
194298,1
152989,0
158934,0
53271,0
182106,0
288000,0
10038,0
275931,0
71003,0
145574,0
153236,0
297110,0
150936,0
182729,0
143990,0
183015,0
81708,0
123325,0
300422,0
132770,0
112788,0
281077,0
190237,0
259492,0
198577,0
249319,1
272842,0
107760,0
90019,0
160643,0
162787,0
197887,0
143527,0
265234,0
285115,1
204294,0
239909,0
187900,0
299265,0
197801,0
248672,0
243290,1
99865,0
289102,0
121632,1
122695,0
152198,0
114892,0
80106,0
207792,0
132734,0
167771,0
19396,0
274857,0
46069,0
151288,0
264084,0
160568,0
269195,0
95963,0
46337,0
206623,0
104298,0
90609,0
110641,0
80923,0
201093,0
187726,0
40156,0
194614,0
171794,0
303296,0
75675,0
79480,0
177138,0
72766,0
174135,0
69977,0
109740,0
158149,0
182177,0
294079,0
231476,0
124630,0
17699,0
217828,0
26819,0
185700,0
289564,0
231665,0
158263,0
55748,0
153632,0
250690,0
237789,1
161220,0
10702,0
3036,0
53016,0
248419,0
3355,0
137429,0
29553,0
1543,0
256245,0
20564,0
143897,0
79069,1
182371,1
48205,1
1570,0
163827,0
110843,0
190272,0
22547,0
232945,0
51053,0
124244,0
194032,1
232278,1
130590,0
27779,0
260240,0
266424,0
213780,0
65780,1
258052,0
210410,0
33010,0
227487,1
105390,0
37214,0
90350,0
200436,1
46469,0
275674,0
56799,0
246204,0
223431,0
31555,0
142074,0
284241,1
203511,0
71733,0
237817,1
121372,0
216269,0
228200,0
262635,0
275281,0
294246,0
173559,0
92972,0
82903,0
152918,0
291393,0
112103,0
95207,0
240905,0
5900,0
153660,0
113897,0
160152,0
32346,0
238884,0
251878,0
5988,1
231376,0
182468,0
102123,0
236102,0
295581,0
127000,1
92755,0
61215,0
294031,0
8492,0
78133,0
30045,0
305432,0
244642,1
234491,0
252452,0
32107,1
58422,0
84153,0
271271,0
91564,0
144775,0
187062,1
28202,0
143401,0
137550,0
154348,0
163147,0
215811,0
87166,0
164935,0
6507,0
31063,1
42714,0
194761,0
76177,0
34037,0
282343,0
292488,0
177909,0
239522,0
53231,0
74738,0
258807,0
143000,0
13309,0
147066,1
283378,0
276424,0
14151,0
138908,0
168565,0
3028,0
126233,0
228394,1
244726,0
280671,0
44550,0
76690,0
151053,1
64589,0
160553,0
290099,1
219709,0
100962,0
183256,0
304003,0
195748,0
119905,0
29059,0
162826,0
88829,0
229743,0
265156,0
82269,1
152145,0
230598,0
229868,1
218202,1
107467,0
244775,0
227634,0
197785,0
240188,0
167622,0
82282,0
291016,0
112008,0
158418,0
174377,0
304436,0
46173,0
16188,0
198765,0
239968,0
131593,0
242722,0
174657,0
143609,0
69248,0
163522,0
160638,0
84004,0
290573,0
193976,0
95505,0
57911,0
200465,0
85554,0
37228,0
80413,0
178271,0
232995,0
117423,0
74559,0
122151,0
225102,0
110111,0
78247,0
281551,0
241160,0
167190,0
12088,0
207946,0
113682,0
275391,0
75072,0
58951,0
119761,0
68634,0
167426,0
71839,0
246549,0
72353,0
247987,0
108821,0
27628,0
195626,0
186508,0
228307,0
166996,0
260859,0
204502,0
283821,0
108099,0
149412,0
304094,0
33466,0
286833,1
293741,0
38008,0
200878,0
40543,0
138854,0
35515,0
50031,0
181430,0
93681,0
101359,0
199408,0
217887,0
128863,0
217110,0
78893,0
266904,1
250253,0
91256,0
287337,0
93334,0
1943,0
112400,0
129641,0
224325,0
177681,0
266181,0
107122,0
33617,0
111882,0
175966,0
167322,0
55575,0
183359,0
220255,1
128847,0
152025,0
69864,0
129572,0
192457,0
251072,0
187420,0
209433,0
302632,0
47274,0
118868,0
66664,0
125130,0
148429,1
230128,0
85197,0
188165,0
247188,0
261831,0
72903,1
200002,0
303922,0
79166,0
84783,0
235776,0
220727,0
10830,1
126765,0
273946,0
87613,0
130516,0
169887,0
89780,0
211085,1
152802,0
193993,0
80758,0
102741,0
132540,0
33224,0
281557,0
137373,0
34331,0
24014,0
138780,0
266276,0
220822,0
303902,0
190050,0
17389,0
59507,0
245234,0
81052,0
73692,0
103540,0
287918,0
302731,0
269695,0
236189,0
94350,0
235215,0
104185,1
282945,0
224100,0
16492,0
103727,0
196965,1
178590,0
261806,1
227353,0
289414,0
66635,0
283282,0
143731,0
5532,1
27644,0
158475,0
107534,1
84224,0
257018,0
119182,0
115930,0
64260,1
251822,0
164153,0
1622,0
118252,0
113552,0
58264,0
85987,0
8771,0
221794,0
296565,0
192226,1
89218,0
24786,0
207977,0
88637,0
37875,0
233475,0
14931,0
150094,0
2864,1
68092,0
180570,0
303652,0
153178,0
48235,0
187231,0
110480,0
19093,0
50164,0
127884,0
248649,0
86544,0
258205,0
293334,0
275297,0
24242,0
71936,0
223140,0
112351,0
71390,0
96125,0
118904,0
188878,0
50707,0
205414,0
106306,1
250689,0
113661,0
269602,0
64845,0
122632,1
189166,1
53116,0
187883,0
67193,0
56645,0
86280,0
143440,0
202884,0
203036,1
82633,0
14596,0
306675,0
169286,0
87836,0
162919,0
303234,0
223810,0
56984,0
61765,0
185515,1
128248,0
279537,0
260098,0
31144,0
145963,0
243798,0
120577,0
30961,0
53967,0
41091,0
95444,0
36560,0
177188,0
163912,0
5896,0
302051,0
1757,0
120133,0
198790,1
144954,0
5331,0
78327,0
248110,0
61731,0
22148,0
224464,0
301798,0
196621,1
259171,0
260248,0
305281,0
97895,0
106620,0
244440,0
2118,0
246001,0
72477,0
14906,0
215373,0
48473,0
230659,0
28546,0
197630,0
25341,1
134306,0
219185,0
39834,0
286848,0
218249,0
191525,0
86673,0
139021,0
300800,0
83438,0
34561,0
2307,0
7396,0
187439,0
179214,0
130620,1
59107,1
140628,0
160905,0
110639,0
198437,0
58906,0
235828,0
199620,0
141153,0
255367,0
19672,1
97816,0
98234,0
132633,0
191406,0
106236,0
282592,0
66154,0
147527,0
242952,0
10329,0
147552,0
211893,0
223419,0
126637,1
183808,0
32518,0
155388,0
266475,0
268563,1
294299,0
13107,0
245057,0
259099,0
153094,0
88669,0
73181,0
72771,0
47598,0
163584,1
99914,0
298861,0
85375,0
76171,0
114903,0
166314,0
265688,0
31444,0
38380,1
233510,0
146081,0
9070,0
160209,0
36457,0
244646,0
140671,1
186598,0
243968,0
194881,0
300449,0
228866,0
274401,1
193617,0
58659,0
266656,0
94190,0
163661,0
31488,1
284198,0
43881,0
33695,1
104361,0
155554,0
47792,1
207514,0
95915,0
86433,0
95776,0
2717,0
53401,0
111926,1
158255,0
17172,0
10308,0
42977,0
254947,1
11577,0
294896,0
41911,0
138109,0
217334,0
250452,0
294942,0
44771,0
258484,0
220424,0
15498,0
166845,0
294758,0
35375,0
273199,0
11835,0
183031,0
153363,0
136031,0
133716,1
180664,0
306036,0
21599,0
244566,1
184654,0
100606,0
103676,0
226320,0
292413,0
230054,0
142904,0
81131,0
75794,1
116887,0
201670,0
211575,0
260610,0
154997,0
204763,0
260990,0
262061,1
97172,0
56047,0
90398,0
169198,0
206843,0
185489,0
144260,0
73436,0
9172,0
40816,0
97681,0
8732,0
249450,0
241825,0
80849,0
66461,0
121541,0
22425,0
155893,0
267559,0
46222,0
215830,0
235908,0
40354,0
4436,0
109962,0
142819,0
17967,1
145695,1
44372,0
213726,0
72528,0
39585,0
66223,0
199015,0
205201,0
189372,0
4695,0
265477,1
57660,0
283873,0
54927,1
92801,0
267826,0
77723,0
280486,0
176377,0
18820,0
121573,0
207293,0
268739,0
121021,0
127076,1
156617,0
153857,0
167250,0
168253,0
35602,0
19067,0
30445,0
151150,0
47082,1
12475,0
183121,0
137462,0
170394,0
97663,0
4033,0
31129,0
249674,0
261686,0
253232,0
19611,0
120945,0
37951,0
305169,0
290575,0
222160,0
134760,0
180656,0
272525,0
240916,0
191831,0
240793,0
195737,0
171984,0
240636,0
147464,0
245608,0
236809,0
75608,0
84973,0
278915,0
22903,0
142231,0
145662,0
134585,0
156475,0
109398,0
31599,1
168072,0
33861,0
91316,0
9704,0
148597,0
297773,0
69944,0
162739,0
31740,1
68300,0
132786,0
52657,0
8530,0
57490,0
53165,0
113124,0
252337,0
274208,0
81053,0
112820,0
123317,0
283983,0
208030,0
131209,0
102363,0
10916,0
52390,0
112651,0
199154,0
58217,0
188357,0
136490,1
163189,0
282069,0
208373,0
231391,0
184494,0
227414,0
182886,0
135505,0
203244,0
189541,0
35123,0
148295,0
67512,0
12583,1
96429,0
287529,0
6122,1
131127,0
293164,0
60171,0
193374,0
47117,0
285831,0
136986,0
115174,0
19916,0
46836,0
251192,0
94847,0
264028,0
3908,0
104351,0
190141,0
30054,0
164797,0
231894,0
161597,0
155120,0
209737,0
108551,0
69209,0
100083,0
292163,0
56882,0
69405,0
85116,0
174507,0
28056,0
96024,0
82020,0
300988,0
165692,0
64159,0
91664,1
213606,0
263444,0
141218,0
267351,1
253002,0
124614,0
186734,0
269702,0
108772,0
214991,0
158461,0
86122,0
87493,1
167344,0
206327,0
305735,0
62091,0
51175,0
23668,0
216832,0
186892,0
97674,0
198530,0
100312,0
267425,0
283934,0
65982,1
55582,0
161944,0
120819,0
212265,0
107340,0
20952,1
278701,0
271533,0
198474,0
80030,1
4892,0
128181,0
165262,0
164140,0
144601,0
205256,0
59639,0
177671,0
9307,1
206420,1
188881,0
63998,0
87962,0
122213,0
96230,0
25194,0
44031,0
31504,0
2284,0
133391,0
5953,0
301032,0
91611,0
139373,0
21325,0
67856,0
95735,0
2053,0
2466,0
76504,0
278295,0
291815,0
46022,1
245970,0
185368,0
53845,0
273247,0
3721,0
258511,0
292497,0
266991,0
130071,0
181635,0
4551,0
35806,0
38568,0
159797,0
183953,0
299679,0
29301,1
302149,0
117835,0
208624,0
232418,0
147415,1
1954,0
134397,0
9477,0
208398,0
228184,0
253910,0
109212,0
183429,0
90103,0
16879,1
141691,0
127058,1
95014,0
202390,0
57755,0
977,0
224891,0
277342,0
83456,0
51575,0
87834,0
34306,0
261915,0
149762,0
9868,0
96270,1
44599,0
150408,0
61940,0
227716,0
304440,0
154207,0
29988,0
221589,0
255320,0
8785,0
107804,0
170541,0
203443,0
191479,0
80555,0
243901,0
56282,0
286955,0
151559,0
28820,0
284447,1
111694,0
13082,0
119085,0
147780,0
73490,0
128079,0
222733,0
39923,0
19522,0
40926,0
198747,0
163063,0
2765,0
293736,0
122540,0
41656,0
154457,1
202953,0
61846,1
4950,0
8925,0
85627,0
150543,0
169756,0
239474,0
270206,0
87573,1
54604,0
23520,0
198146,0
214412,0
27761,0
26656,0
190775,0
124601,0
98889,0
173092,0
224368,0
135545,0
9251,0
101119,0
4728,0
205664,1
164395,0
234922,0
105363,0
177340,0
43942,1
168543,0
203471,0
7750,0
287743,0
129297,0
27244,0
54484,0
157210,0
64900,1
88050,0
62520,0
164164,0
41913,1
143014,0
113663,0
237780,0
176267,0
95997,0
84240,0
19586,0
211502,0
57505,1
37466,0
213917,0
76630,0
203210,0
222275,0
178250,1
237390,0
31877,0
279952,0
223568,0
53043,0
139645,0
144901,0
290125,0
73423,0
39721,0
285969,0
74373,0
290468,0
199502,0
92148,0
148292,0
152530,0
296602,1
300282,1
289210,0
177861,0
233881,0
30521,0
67797,0
201242,0
96006,0
53372,0
113560,0
132008,0
208604,0
186186,0
152691,0
31884,0
295989,0
200498,0
125264,0
171680,0
164969,0
137835,0
163493,0
281928,0
292394,0
286384,0
205421,0
153516,0
300265,0
134992,0
217348,0
18100,0
153348,0
269674,0
227766,0
140053,0
50866,0
192858,0
207448,1
205499,0
306548,0
302400,0
222772,0
217700,0
146451,0
269576,0
244257,0
144729,1
156057,0
76967,0
153813,0
275620,0
87737,0
299462,0
299456,0
24992,0
221274,0
27971,0
257753,0
22360,0
42368,0
272070,0
209776,1
139365,0
216049,0
77676,0
281878,1
84624,0
306288,0
193375,0
190134,0
216426,0
145640,0
198909,0
87185,1
235548,0
183778,1
71164,0
241951,0
247245,0
196458,0
55135,1
245828,0
176347,0
294396,0
304693,0
303007,0
163848,1
180758,1
93459,0
118323,0
252342,0
58836,0
224168,0
241140,0
302299,0
6559,0
305757,0
268193,0
168228,0
217554,0
265868,0
196408,0
272171,0
297128,0
32291,0
197914,0
286377,0
255844,0
73146,0
294837,0
262907,0
92050,0
174640,0
189495,0
1849,0
259156,0
195492,0
86584,0
16797,0
69155,0
107232,0
12024,0
111930,0
25481,0
82137,0
22804,0
237676,0
210380,0
29186,0
246353,0
118591,0
227029,0
304126,0
289803,0
42301,0
100809,0
47217,0
86378,0
120979,0
55875,0
171675,0
228409,0
128095,0
16205,0
12332,1
99296,0
248868,0
58098,0
177392,0
52291,0
97805,0
222515,0
225828,0
1702,0
269350,0
48897,0
117300,0
161141,0
14153,0
103361,0
115949,0
160391,0
66765,0
204915,0
262644,0
189864,0
219483,0
242890,0
223269,0
196231,0
32205,0
166669,0
223679,0
207259,0
150689,0
226809,0
207917,0
70751,0
302030,1
278422,0
203996,0
247284,0
74605,0
172308,0
109944,0
278015,0
215142,0
49310,0
40198,0
97619,0
199347,0
144048,0
30683,0
181543,0
102614,1
249847,0
254705,0
6934,0
124947,0
91347,0
88188,0
84068,0
213387,0
302854,0
174036,0
119148,0
130867,1
234492,0
277008,0
212860,0
209719,0
266817,0
277136,0
215587,0
134407,0
15414,0
196030,0
267603,0
10037,0
87588,0
199077,1
91633,0
230132,0
3539,0
286923,0
105738,0
176984,0
172610,0
78600,0
268412,0
144510,0
242423,0
127659,0
295995,0
155325,0
94955,0
10563,0
94087,0
77069,0
282547,1
137580,0
235248,0
263561,0
89342,0
115028,0
177051,0
158923,0
296241,0
10713,0
223177,0
139032,0
202635,0
73066,0
236563,0
255304,0
258463,0
147702,0
90459,0
209828,0
60564,0
60478,0
114775,0
94789,0
161270,1
28671,0
149736,0
230270,0
171324,0
253007,0
232509,0
44299,0
178112,0
225304,0
209812,0
1738,0
158019,0
210158,0
94136,0
19854,0
234723,0
605,0
136056,0
26207,0
163571,0
45962,0
95177,0
298674,0
300765,0
79524,0
147525,0
260100,0
28907,0
272266,0
106948,0
70383,0
175401,0
58228,0
64435,0
185885,0
127843,0
275915,0
194760,0
216661,0
238989,0
274946,0
143981,0
283152,0
228150,0
112875,0
188216,1
238124,0
15573,0
191038,0
63365,0
91855,1
5778,0
225373,0
72447,0
108538,0
16677,0
14397,0
129410,0
208832,0
6678,0
114356,0
261268,0
133940,0
298175,0
52188,0
92652,1
49859,0
133747,0
98968,0
283191,0
33103,0
235710,0
279496,0
32224,0
186793,0
55894,0
68369,0
226692,0
135904,0
268965,0
73248,0
301836,0
5486,0
158350,0
54866,0
165089,0
43888,0
24385,0
2615,0
9097,0
186241,1
150375,0
94957,0
88048,0
59006,0
1887,0
245798,0
237142,0
154234,0
63009,0
242152,0
284114,0
90885,0
246858,0
212668,0
294498,0
48691,0
67011,0
247214,0
146400,0
5641,0
206656,0
119881,0
45745,0
8140,0
25127,0
166700,1
300782,0
222912,0
144503,0
629,0
43239,0
93485,0
126119,0
64158,0
120317,0
187132,0
133775,0
63526,1
67238,0
298126,0
23858,1
18790,0
216736,0
76755,0
200366,0
32121,0
168550,0
69813,0
140189,0
1002,0
112707,0
74677,0
262229,0
267649,0
56975,0
114511,0
261584,0
203516,0
32887,0
69647,0
295213,0
214376,1
250972,0
71543,0
251827,0
10638,0
198336,0
241139,0
185246,0
205423,0
28556,0
177833,0
12124,0
257610,1
267899,0
253497,0
233947,0
158447,0
33403,0
178997,0
213581,0
277616,0
306964,0
293794,0
235212,0
167360,0
143713,0
27436,0
82457,0
101386,0
161884,0
139185,0
73427,0
230570,0
123303,0
94714,0
63288,0
262922,0
91381,0
139515,0
